編號,詞語,語源,義項,詞類,等級,標籤,TL,POJ,方言差,近義詞,反義詞,相關詞,附註,動詞變化,翻譯,,分類
9478,搜,,13013,動,,,翻找搜索。,,,,,,,tshiau,chhiau,https://sutian.moe.edu.tw/zh-hant/su/9478/#13013,飲食行為
9479,搝,,13014,動,,,拉扯。,,,8349#11534,5997#8386,,,khiú,khiú,https://sutian.moe.edu.tw/zh-hant/su/9479/#13014,肢體動作
9480,搟,,13015,動,,,搖晃。,,,,,,,hián,hián,https://sutian.moe.edu.tw/zh-hant/su/9480/#13015,一般動詞-活動動詞
9481,搢,,13016,動,,,塞進去、填入。,,,,,,,tsìnn,chìⁿ,https://sutian.moe.edu.tw/zh-hant/su/9481/#13016,
9481,搢,,13017,動,,,擠進去。,,,,,,,tsìnn,chìⁿ,https://sutian.moe.edu.tw/zh-hant/su/9481/#13017,
9481,搢,,13018,動,,,爭先。,,,,,,,tsìnn,chìⁿ,https://sutian.moe.edu.tw/zh-hant/su/9481/#13018,
9481,搢,,13019,動,,,逆行、逆流而上。,,,,,,,tsìnn,chìⁿ,https://sutian.moe.edu.tw/zh-hant/su/9481/#13019,
9482,搣,,13020,動,,,用手抓一把。,,,,,,,me/mi,me/mi,https://sutian.moe.edu.tw/zh-hant/su/9482/#13020,
9482,搣,,13021,量,,,一把。計算一手抓起的份量的單位。,,,,,,,me/mi,me/mi,https://sutian.moe.edu.tw/zh-hant/su/9482/#13021,
9483,搤,,13022,動,,,掘。,,,,,,,iah,iah,https://sutian.moe.edu.tw/zh-hant/su/9483/#13022,
9483,搤,,13023,動,,,像划船般的動作。,,,,,,,iah,iah,https://sutian.moe.edu.tw/zh-hant/su/9483/#13023,
9483,搤,,13024,動,,,揭發、揭露。,,,,,,,iah,iah,https://sutian.moe.edu.tw/zh-hant/su/9483/#13024,
9484,浞,,13025,動,,,將物品在水中稍微搓揉、攪動。,,,,,,,tshio̍k,chhio̍k,https://sutian.moe.edu.tw/zh-hant/su/9484/#13025,肢體動作
9484,浞,,13026,動,,,用腳在水或泥濘中踩、踏。,,,,,,,tshio̍k,chhio̍k,https://sutian.moe.edu.tw/zh-hant/su/9484/#13026,肢體動作
9485,搦,,13027,動,,,掌握、握有。,,,,,,,la̍k,la̍k,https://sutian.moe.edu.tw/zh-hant/su/9485/#13027,肢體動作
9485,搦,,13028,動,,,用手緊握、揉捏。,,,,,,,la̍k,la̍k,https://sutian.moe.edu.tw/zh-hant/su/9485/#13028,肢體動作
9485,搦,,13029,動,,,清理。,,,,,,,la̍k,la̍k,https://sutian.moe.edu.tw/zh-hant/su/9485/#13029,肢體動作
9486,搧,,13030,動,,,以巴掌用力打耳光。,,,3199#4431|8352#11540|9487#13031|13482#18286,,,,sàm,sàm,https://sutian.moe.edu.tw/zh-hant/su/9486/#13030,肢體動作
9487,搧,,13031,動,,,摑、甩、打。,,,3199#4431|8352#11540|9486#13030|13482#18286,,,,siàn,siàn,https://sutian.moe.edu.tw/zh-hant/su/9487/#13031,肢體動作|一般動詞-行為動詞
9487,搧,,13032,動,,,迎風、直接面對風。,,,2967#4098|9520#13083|12744#17337,,,,siàn,siàn,https://sutian.moe.edu.tw/zh-hant/su/9487/#13032,肢體動作|一般動詞-行為動詞
9487,搧,,13033,動,,,用言語欺騙。,,,7013#9737|8541#11787|11821#16125|24315,,,,siàn,siàn,https://sutian.moe.edu.tw/zh-hant/su/9487/#13033,肢體動作|一般動詞-行為動詞
9488,搩,,13034,動,,,砸。用力丟擲。,,,,,,,kiat,kiat,https://sutian.moe.edu.tw/zh-hant/su/9488/#13034,一般動詞-行為動詞
9488,搩,,13035,動,,,比喻為打架。,,,,,,,kiat,kiat,https://sutian.moe.edu.tw/zh-hant/su/9488/#13035,一般動詞-行為動詞
9488,搩,,13036,動,,,吃掉、快速吞嚥。,,,3018#4163|14374#19416,,,,kiat,kiat,https://sutian.moe.edu.tw/zh-hant/su/9488/#13036,一般動詞-行為動詞
9489,搪,,13037,動,,,剛好遇見、碰巧遇到。,,,3948#5544|9776#13408|10144#13931,,,,tn̄g,tn̄g,https://sutian.moe.edu.tw/zh-hant/su/9489/#13037,
9490,搬,,13038,動,,,使力移動較重或較大型的物體。,,,,,,,puann,poaⁿ,https://sutian.moe.edu.tw/zh-hant/su/9490/#13038,
9490,搬,,13039,動,,,演出、放映。,,,10605#14537,,,,puann,poaⁿ,https://sutian.moe.edu.tw/zh-hant/su/9490/#13039,
9490,搬,,13040,動,,,遷移。,,,,,,,puann,poaⁿ,https://sutian.moe.edu.tw/zh-hant/su/9490/#13040,
9491,搭,,13041,動,,,拍。,,,,,,,tah,tah,https://sutian.moe.edu.tw/zh-hant/su/9491/#13041,
9491,搭,,13042,動,,,搭建。,,,,,,,tah,tah,https://sutian.moe.edu.tw/zh-hant/su/9491/#13042,
9491,搭,,13043,動,,,乘、坐。,,,,,,,tah,tah,https://sutian.moe.edu.tw/zh-hant/su/9491/#13043,
9491,搭,,13044,動,,,用杓子沽油、酒之類。,,,,,,,tah,tah,https://sutian.moe.edu.tw/zh-hant/su/9491/#13044,
9491,搭,,13045,名,,,場所、地方。,,,10058#13809,,,,tah,tah,https://sutian.moe.edu.tw/zh-hant/su/9491/#13045,
9492,搵,,13046,動,,,蘸沾。以物沾粉或液體。,,,9685#13297,,,,ùn,ùn,https://sutian.moe.edu.tw/zh-hant/su/9492/#13046,一般動詞-行為動詞
9493,搶,,13047,動,,,奪取。,,,3963#5592|5722#7999,,,,tshiúnn,chhiúⁿ,https://sutian.moe.edu.tw/zh-hant/su/9493/#13047,一般動詞-行為動詞
9494,摃,,13048,動,,,用棍、棒等用力打、撞或敲。,,V716,13574#18416|14374#19415,,,,kòng,kòng,https://sutian.moe.edu.tw/zh-hant/su/9494/#13048,一般動詞-行為動詞
9494,摃,,13049,動,,,敲詐、揩油。,,,,,,,kòng,kòng,https://sutian.moe.edu.tw/zh-hant/su/9494/#13049,一般動詞-行為動詞
9495,敬,,13050,動,,,尊重。,,,,,,,kìng,kèng,https://sutian.moe.edu.tw/zh-hant/su/9495/#13050,
9495,敬,,13051,動,,,有禮貌地獻上。,,,,,,,kìng,kèng,https://sutian.moe.edu.tw/zh-hant/su/9495/#13051,
9496,斟,,13052,動,,,斟、倒、注等。將液體傾注於容器中。,,,5707#7967,,,,thîn,thîn,https://sutian.moe.edu.tw/zh-hant/su/9496/#13052,飲食行為
9497,新,,13053,形,,,沒有使用過的。與「舊」(kū)相對。,,,,12552#17096,,,sin,sin,https://sutian.moe.edu.tw/zh-hant/su/9497/#13053,
9497,新,,13054,形,,,剛開始的。,,,,,,,sin,sin,https://sutian.moe.edu.tw/zh-hant/su/9497/#13054,
9498,新人,,13055,名,,,新婚的男女。,,,9518#13080|9522#13085,,,,sin-lâng,sin-lâng,https://sutian.moe.edu.tw/zh-hant/su/9498/#13055,性別、婚姻|地位、身世、背景|婚喪喜慶
9498,新人,,13056,名,,,新進的人員。,,,9539#13104,,,,sin-lâng,sin-lâng,https://sutian.moe.edu.tw/zh-hant/su/9498/#13056,性別、婚姻|地位、身世、背景|婚喪喜慶
9499,搧大耳,,13057,熟,,,哄騙、唬弄。用虛誇不實的言語哄騙。,,,,,,,siàn-tuā-hīnn/siàn-tuā-hī,siàn-tōa-hīⁿ/siàn-tōa-hī,https://sutian.moe.edu.tw/zh-hant/su/9499/#13057,一般動詞-行為動詞
9500,搝大索,,13058,動,,,拔河。,,V073,,,,,khiú-tuā-soh,khiú-tōa-soh,https://sutian.moe.edu.tw/zh-hant/su/9500/#13058,體育、運動
9501,搖手,,13059,動,,,搖手，表拒絕或不同意。,,,,,,,iô-tshiú,iô-chhiú,https://sutian.moe.edu.tw/zh-hant/su/9501/#13059,
9502,搵水,,13060,動,,,用布或容易吸水的東西沾水。,,,,,,,ùn tsuí,ùn chúi,https://sutian.moe.edu.tw/zh-hant/su/9502/#13060,一般動詞-行為動詞
9503,損失,,13061,名,,,指被損毀的事物。,,,,,,,sún-sit,sún-sit,https://sutian.moe.edu.tw/zh-hant/su/9503/#13061,事、物泛稱
9503,損失,,13062,動,,,指有形的物質或無形的價值由多變少、由有變無。,,,43#68|8524#11765|12363#16832,,,,sún-sit,sún-sit,https://sutian.moe.edu.tw/zh-hant/su/9503/#13062,事、物泛稱
9504,新正,,13063,名,,,過年、新年。,,,5046#7083,,,,sin-tsiann,sin-chiaⁿ,https://sutian.moe.edu.tw/zh-hant/su/9504/#13063,時間節令|生活狀況
9505,新年,,13064,名,,,一年的開始。,,V103,,,,,sin-nî,sin-nî,https://sutian.moe.edu.tw/zh-hant/su/9505/#13064,時間節令|生活狀況
9506,搶劫,,13065,動,,,用暴力手段強行掠奪財物。,,,,,,,tshiúnn-kiap,chhiúⁿ-kiap,https://sutian.moe.edu.tw/zh-hant/su/9506/#13065,一般動詞-行為動詞
9507,搖尾,,13066,動,,,狗搖動尾巴。,,,,,,,iô bué/iô bé,iô bóe/iô bé,https://sutian.moe.edu.tw/zh-hant/su/9507/#13066,動物形體、行為
9508,搵豆油,,13067,動,,,沾醬油。,,,,,,,ùn tāu-iû,ùn tāu-iû,https://sutian.moe.edu.tw/zh-hant/su/9508/#13067,飲食行為
9508,搵豆油,,13068,熟,,,指做事情膚淺不深入，或只是短暫停留，就像沾醬油一樣。,,,,,,,ùn tāu-iû,ùn tāu-iû,https://sutian.moe.edu.tw/zh-hant/su/9508/#13068,飲食行為
9509,搜身軀,,13069,動,,,搜身。搜查身上有無夾帶危險或違法物品。,,,,,,,tshiau sin-khu,chhiau sin-khu,https://sutian.moe.edu.tw/zh-hant/su/9509/#13069,法律
9510,新奇,,13070,形,,,新鮮奇特。,,,9558#13127,,,,sin-kî,sin-kî,https://sutian.moe.edu.tw/zh-hant/su/9510/#13070,性質、程度
9511,搶孤,,13071,名,,,一種民俗活動。中元節超渡孤魂野鬼，在廣場用竹子搭一高臺，設一木架，擺供品祭孤，稱為「孤棚」，祭拜過後，由民眾攀爬，並爭奪孤棚中的供品，相傳搶孤中搶得祭品，可在來年有好運氣，這叫做「搶孤」。,,,,,,,tshiúnn-koo,chhiúⁿ-ko͘,https://sutian.moe.edu.tw/zh-hant/su/9511/#13071,相關器具、活動
9512,搭油,,13072,動,,,拿空瓶去買油。,,,,,,,tah iû,tah iû,https://sutian.moe.edu.tw/zh-hant/su/9512/#13072,財務單位、活動
9513,搤空,,13073,動,,,掘、挖。以工具挖出小洞。,,,,,,,iah-khang,iah-khang,https://sutian.moe.edu.tw/zh-hant/su/9513/#13073,
9513,搤空,,13074,動,,,揭發他人的短處。,,,5018#7050|6393#8926|9932#13647|12407#16891|12462#16974,,,,iah-khang,iah-khang,https://sutian.moe.edu.tw/zh-hant/su/9513/#13074,
9514,搦屎搦尿,,13075,熟,,,把屎把尿，形容照顧的辛勞。,,,,,,,la̍k-sái-la̍k-jiō/la̍k-sái-la̍k-liō,la̍k-sái-la̍k-jiō/la̍k-sái-la̍k-liō,https://sutian.moe.edu.tw/zh-hant/su/9514/#13075,生養老死
9515,新春,,13076,名,,,指初春，陰曆的第一個月。,,,,,,,sin-tshun,sin-chhun,https://sutian.moe.edu.tw/zh-hant/su/9515/#13076,時間節令|生活狀況|相關器具、活動
9515,新春,,13077,名,,,指農曆新年。,,,,,,,sin-tshun,sin-chhun,https://sutian.moe.edu.tw/zh-hant/su/9515/#13077,時間節令|生活狀況|相關器具、活動
9516,搭架,,13078,動,,,搭起架子。,,,,,,,tah-kè,tah-kè,https://sutian.moe.edu.tw/zh-hant/su/9516/#13078,一般動詞-行為動詞
9517,敬重,,13079,動,,,恭敬尊重。,,,8315#11495,,,,kìng-tiōng,kèng-tiōng,https://sutian.moe.edu.tw/zh-hant/su/9517/#13079,心理活動
9518,新郎,,13080,名,,,稱剛結婚或者正要舉行婚禮的男子。,,,9498#13055,,,,sin-lông,sin-lông,https://sutian.moe.edu.tw/zh-hant/su/9518/#13080,性別、婚姻|婚喪喜慶
9519,搢風,,13081,名,,,逆風。,,,14433#19492|17705#22761|20218#23118|28138,,,,tsìnn-hong,chìⁿ-hong,https://sutian.moe.edu.tw/zh-hant/su/9519/#13081,自然現象
9520,搧風,,13082,動,,,當著強風吹。,,,2989#4127|3172#4392|12752#17349|14177#19163,,,,siàn-hong,siàn-hong,https://sutian.moe.edu.tw/zh-hant/su/9520/#13082,一般動詞-靜態動詞
9520,搧風,,13083,動,,,因吹了風而受到風寒。,,,9323#12819|9487#13032,,,,siàn-hong,siàn-hong,https://sutian.moe.edu.tw/zh-hant/su/9520/#13083,一般動詞-靜態動詞
9521,搬厝,,13084,動,,,搬家。,,,11492#15699|14271#19290|18948,,,,puann-tshù,poaⁿ-chhù,https://sutian.moe.edu.tw/zh-hant/su/9521/#13084,房屋租賃、搬遷
9522,新娘,,13085,名,,,稱剛結婚或者正要舉行婚禮的女子。,,V537,9498#13055,,,,sin-niû,sin-niû,https://sutian.moe.edu.tw/zh-hant/su/9522/#13085,性別、婚姻|婚喪喜慶
9523,新娘房,,13086,名,,,新房、洞房。新婚夫婦的臥室。,,,,,,,sin-niû-pâng,sin-niû-pâng,https://sutian.moe.edu.tw/zh-hant/su/9523/#13086,性別、婚姻
9524,損害,,13087,動,,,損壞傷害。,,,6420#8960,,,,sún-hāi,sún-hāi,https://sutian.moe.edu.tw/zh-hant/su/9524/#13087,一般動詞-行為動詞
9525,損神,,13088,動,,,傷神、勞神。,,,,,,,sńg-sîn,sńg-sîn,https://sutian.moe.edu.tw/zh-hant/su/9525/#13088,心理活動
9526,斟茶,,13089,動,,,倒茶。,,V695,,,,,thîn tê,thîn tê,https://sutian.moe.edu.tw/zh-hant/su/9526/#13089,一般動詞-行為動詞
9527,敬酒,,13090,動,,,在宴席間舉杯向人邀請喝酒以表示敬意。,,,,,,,kìng-tsiú,kèng-chiú,https://sutian.moe.edu.tw/zh-hant/su/9527/#13090,
9528,斟酌,,13091,形,,,形容做事小心謹慎。,,,260#387,,,,tsim-tsiok,chim-chiok,https://sutian.moe.edu.tw/zh-hant/su/9528/#13091,
9528,斟酌,,13092,動,,,詳細考慮。,,,7058#9797,,,,tsim-tsiok,chim-chiok,https://sutian.moe.edu.tw/zh-hant/su/9528/#13092,
9528,斟酌,,13093,動,,,注意，特別仔細專注做某事。,,,4361#6130|28489#23341,,,,tsim-tsiok,chim-chiok,https://sutian.moe.edu.tw/zh-hant/su/9528/#13093,
9529,斟酒,,13094,動,,,斟酒、倒酒。,,,,,,,thîn tsiú,thîn chiú,https://sutian.moe.edu.tw/zh-hant/su/9529/#13094,食物、飲料、煙酒
9530,搢做前,,13095,動,,,擠到前面去站在領導的地位。,,,,,,,tsìnn-tsò-tsîng/tsìnn-tsuè-tsîng,chìⁿ-chò-chêng/chìⁿ-chòe-chêng,https://sutian.moe.edu.tw/zh-hant/su/9530/#13095,
9531,新婚,,13096,名,,,剛結婚不久。,,,,,,,sin-hun,sin-hun,https://sutian.moe.edu.tw/zh-hant/su/9531/#13096,性別、婚姻|婚喪喜慶
9532,新婦,,13097,名,,,兒媳婦、媳婦。稱謂。稱呼兒子的妻子。,,,19261,,,,sin-pū,sin-pū,https://sutian.moe.edu.tw/zh-hant/su/9532/#13097,宗族、家庭|性別、婚姻|稱謂輩分
9533,新婦仔,,13098,名,,,童養媳。未成年就被領養以備將來做兒媳婦的女孩。,,V604,,,,,sin-pū-á,sin-pū-á,https://sutian.moe.edu.tw/zh-hant/su/9533/#13098,宗族、家庭|性別、婚姻|地位、身世、背景
9534,搬徙,,13099,動,,,搬動、移動。,,,6038#8444|9543#13108|14456#19517|27564#22100|28485#22676,,,,puann-suá,poaⁿ-sóa,https://sutian.moe.edu.tw/zh-hant/su/9534/#13099,一般動詞-行為動詞
9535,搖笱,,13100,名,,,搖籃。嬰兒的睡具。形狀像籃子，可前後或左右搖動，讓嬰兒入睡。,,V195,9561#13132,,,,iô-kô,iô-kô,https://sutian.moe.edu.tw/zh-hant/su/9535/#13100,生養老死
9536,搧喙䫌,,13101,動,,,掌嘴、打耳光。,,,,,,,siàn-tshuì-phué,siàn-chhùi-phóe,https://sutian.moe.edu.tw/zh-hant/su/9536/#13101,肢體動作
9537,新款,,13102,名,,,新的樣式。,,,,,,,sin-khuán,sin-khoán,https://sutian.moe.edu.tw/zh-hant/su/9537/#13102,形貌、體積
9538,搪著,,13103,動,,,遇到。語氣完結時唸作tn̄g--tio̍h。,,,4111#5794|10222#14046|29157#22868,,,,tn̄g-tio̍h,tn̄g-tio̍h,https://sutian.moe.edu.tw/zh-hant/su/9538/#13103,一般動詞-行為動詞
9539,新進,,13104,形,,,剛被任用的。,,,9498#13056,,,,sin-tsìn,sin-chìn,https://sutian.moe.edu.tw/zh-hant/su/9539/#13104,地位、身世、背景
9540,損傷,,13105,動,,,損壞、傷害。,,,,,,,sún-siong,sún-siong,https://sutian.moe.edu.tw/zh-hant/su/9540/#13105,
9541,搝搝搦搦,,13106,熟,,,拉拉扯扯。一方抓住不放，另一方想奮力掙脫。,,,,,,,khiú-khiú-la̍k-la̍k,khiú-khiú-la̍k-la̍k,https://sutian.moe.edu.tw/zh-hant/su/9541/#13106,肢體動作
9542,搬話,,13107,動,,,搬弄是非、中傷他人。,,,,,,,puann-uē,poaⁿ-ōe,https://sutian.moe.edu.tw/zh-hant/su/9542/#13107,待人處事
9543,搬運,,13108,動,,,把東西移動或運送到別的地方。,,,9534#13099|19007|27564#22100,,,,puann-ūn,poaⁿ-ūn,https://sutian.moe.edu.tw/zh-hant/su/9543/#13108,生活勞動
9544,搭鉤仔,,13109,名,,,用來鉤取布袋便於背上肩的器具。,,,,,,,tah-kau-á,tah-kau-á,https://sutian.moe.edu.tw/zh-hant/su/9544/#13109,生活用品
9545,搖鼓瑯,,13110,名,,,波浪鼓。一種兒童玩具。在小鼓兩邊用短線各拴一顆墜子，握住手把轉動，鼓面會因墜子敲擊而發出咚咚的聲響。以前賣貨郎也拿來搖弄，以代替叫賣。,,,5199#7291,,,,iô-kóo-long,iô-kó͘-long,https://sutian.moe.edu.tw/zh-hant/su/9545/#13110,休閒、娛樂
9546,摃槌仔,,13111,名,,,榔頭、錘子。敲打東西的工具。,,,13157#17856,,,,kòng-thuî-á,kòng-thûi-á,https://sutian.moe.edu.tw/zh-hant/su/9546/#13111,生活用品|生產工具
9547,新聞,,13112,名,,,報社、廣播電臺、電視臺等，對國內外發生的重要事件所做的最新報導。,,,,,,,sin-bûn,sin-bûn,https://sutian.moe.edu.tw/zh-hant/su/9547/#13112,郵電、網路
9547,新聞,,13113,名,,,報紙。,,,8270#11439|27544#22086,,,,sin-bûn,sin-bûn,https://sutian.moe.edu.tw/zh-hant/su/9547/#13113,郵電、網路
9548,搬請,,13114,動,,,請出更高位或更大牌、更有份量的人來應付狀況。,,,,,,,puann-tshiánn,poaⁿ-chhiáⁿ,https://sutian.moe.edu.tw/zh-hant/su/9548/#13114,
9549,新曆,,13115,名,,,本國採用之世界通行新曆法，屬「陽曆」的一種，以別於漢族傳統通行的「舊曆」。,,,9204#12664|18934,12580#17131|14129#19101|23964,,,sin-li̍k,sin-le̍k,https://sutian.moe.edu.tw/zh-hant/su/9549/#13115,時間節令|生活用品
9550,新興,,13116,動,,,最近興起，正在流行。,,,,,,,sin-hing,sin-heng,https://sutian.moe.edu.tw/zh-hant/su/9550/#13116,一般動詞-靜態動詞
9551,損蕩,,13117,動,,,破壞、蹧蹋。,,,6420#8960,,,,sńg-tn̄g,sńg-tn̄g,https://sutian.moe.edu.tw/zh-hant/su/9551/#13117,一般動詞-行為動詞
9552,搖頭,,13118,動,,,頭向左右擺動，通常用來表示拒絕、否定、阻止或不以為然的意思。,,,14369#19408|14369#19409,10936#14967,,,iô-thâu,iô-thâu,https://sutian.moe.edu.tw/zh-hant/su/9552/#13118,反應、表情
9553,搶頭香,,13119,動,,,燒頭香。在農曆大年初一或是其他重要的節慶時，信徒們爭相禮神拜佛並在香爐中插下第一柱香，以示虔誠和祈求賜福。,,,,,,,tshiúnn-thâu-hiunn,chhiúⁿ-thâu-hiuⁿ,https://sutian.moe.edu.tw/zh-hant/su/9553/#13119,相關器具、活動
9553,搶頭香,,13120,動,,,拔頭籌、捷足先登。原意是指信徒爭燒第一柱香，後來比喻為搶先一步得到先機。,,,9554#13121,,,,tshiúnn-thâu-hiunn,chhiúⁿ-thâu-hiuⁿ,https://sutian.moe.edu.tw/zh-hant/su/9553/#13120,相關器具、活動
9554,搶頭標,,13121,動,,,拔頭籌。趕在他人之前。,,,9553#13120,,,,tshiúnn-thâu-pio,chhiúⁿ-thâu-pio,https://sutian.moe.edu.tw/zh-hant/su/9554/#13121,
9555,摃龜,JPN183,13122,動,,,希望落空或是彩頭沒中。,,,6249#8737,14351#19386|20162#22626|20162#22627,,,kòng-ku,kòng-ku,https://sutian.moe.edu.tw/zh-hant/su/9555/#13122,
9556,搭嚇,,13123,動,,,受驚嚇。,,,,,,,tah-hiannh,tah-hiaⁿh,https://sutian.moe.edu.tw/zh-hant/su/9556/#13123,心理活動
9557,搬戲,,13124,動,,,演戲、表演。,,,4633#6513|6997#9714|10636#14575,,,,puann-hì,poaⁿ-hì,https://sutian.moe.edu.tw/zh-hant/su/9557/#13124,戲劇、音樂
9557,搬戲,,13125,動,,,引申為裝模作樣。,,,6936#9642,,,,puann-hì,poaⁿ-hì,https://sutian.moe.edu.tw/zh-hant/su/9557/#13125,戲劇、音樂
9558,新鮮,,13126,形,,,食物清潔鮮美，沒有變質。,,,12446#16939,,,,sin-sian,sin-sian,https://sutian.moe.edu.tw/zh-hant/su/9558/#13126,
9558,新鮮,,13127,形,,,新奇、罕見的。,,,9510#13070,,,,sin-sian,sin-sian,https://sutian.moe.edu.tw/zh-hant/su/9558/#13127,
9558,新鮮,,13128,形,,,乾淨未受汙染。,,,,,,,sin-sian,sin-sian,https://sutian.moe.edu.tw/zh-hant/su/9558/#13128,
9559,新點點,,13129,形,,,嶄新。形容很新。,,,28504#22690,,,,sin-tiám-tiám,sin-tiám-tiám,https://sutian.moe.edu.tw/zh-hant/su/9559/#13129,
9560,搖櫓,,13130,動,,,搖動橹使船前進。櫓，使船前進的工具，比槳長而且大，裝在船的後面。,,,,,,,iô-lóo,iô-ló͘,https://sutian.moe.edu.tw/zh-hant/su/9560/#13130,
9560,搖櫓,,13131,動,,,鬆弛、動搖。,,,,,,,iô-lóo,iô-ló͘,https://sutian.moe.edu.tw/zh-hant/su/9560/#13131,
9561,搖籃,,13132,名,,,專供嬰兒使用的寢具。形狀似籃子，可左右搖動，使嬰兒容易入睡。,,V195,9535#13100,,,,iô-nâ,iô-nâ,https://sutian.moe.edu.tw/zh-hant/su/9561/#13132,生養老死
9562,摃鐘,,13133,動,,,敲鐘。,,,,,,,kòng-tsing,kòng-cheng,https://sutian.moe.edu.tw/zh-hant/su/9562/#13133,一般動詞-行為動詞
9563,搦權,,13134,動,,,掌權。,,,8405#11606|12792#17394,18092,,,la̍k-khuân,la̍k-khoân,https://sutian.moe.edu.tw/zh-hant/su/9563/#13134,地位、身世、背景
9564,暗,,13135,形,,,黑暗。,,,,2054,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13135,
9564,暗,,13136,形,,,夜深。,,,6075#8489,2435,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13136,
9564,暗,,13137,形,,,不光明的。,,,,,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13137,
9564,暗,,13138,形,,,私下、祕密的。,,,,,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13138,
9564,暗,,13139,量,,,計算夜晚的單位。,,,,,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13139,
9564,暗,,13140,動,,,私吞。,,,,,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13140,
9564,暗,,13141,形,,,較深的顏色。,,,,,,,àm,àm,https://sutian.moe.edu.tw/zh-hant/su/9564/#13141,
9565,會,,13142,動,,,能。,,V765,,6632#9227,,,ē/uē,ē/ōe,https://sutian.moe.edu.tw/zh-hant/su/9565/#13142,才智能力|境況、狀態-擬事|一般動詞-行為動詞|副詞
9565,會,,13143,動,,,有可能導致某種結果。,,,,,,,ē/uē,ē/ōe,https://sutian.moe.edu.tw/zh-hant/su/9565/#13143,才智能力|境況、狀態-擬事|一般動詞-行為動詞|副詞
9565,會,,13144,動,,,某事確定發生。,,,,6632#9227,,,ē/uē,ē/ōe,https://sutian.moe.edu.tw/zh-hant/su/9565/#13144,才智能力|境況、狀態-擬事|一般動詞-行為動詞|副詞
9565,會,,13145,動,,,可以和「袂」搭配，構成疑問句。,,,,,,,ē/uē,ē/ōe,https://sutian.moe.edu.tw/zh-hant/su/9565/#13145,才智能力|境況、狀態-擬事|一般動詞-行為動詞|副詞
9565,會,,13146,副,,,用於動詞和補語之間，表示有成功的可能。,,,,6632#9227,,,ē/uē,ē/ōe,https://sutian.moe.edu.tw/zh-hant/su/9565/#13146,才智能力|境況、狀態-擬事|一般動詞-行為動詞|副詞
9566,會,,13147,名,,,為特定目的成立的團體。,,,,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13147,組織團體
9566,會,,13148,名,,,多數人的集會。,,,,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13148,組織團體
9566,會,,13149,名,,,民間的儲蓄互助組織。此用法第二優勢音讀為hē。,,,9578#13170,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13149,組織團體
9566,會,,13150,動,,,相見、見面。,,,5242#7349,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13150,組織團體
9566,會,,13151,動,,,表示道歉。此用法第二優勢音讀為hē。,,,,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13151,組織團體
9566,會,,13152,動,,,談論。此用法第二優勢音讀為hē。,,,,,,,huē,hōe,https://sutian.moe.edu.tw/zh-hant/su/9566/#13152,組織團體
9567,椰,,13153,名,,,木本植物。常綠喬木，生長於熱帶，葉子為羽狀，樹幹筆直無枝椏，果實叫做「椰子」(iâ-tsí)，富含果汁，果肉多纖維，皆可食用。,木本植物。常綠喬木，生長於熱帶，葉子為羽狀，樹幹筆直無枝椏，果實叫做「椰子」(iâ-chí)，富含果汁，果肉多纖維，皆可食用。,,,,,,iâ,iâ,https://sutian.moe.edu.tw/zh-hant/su/9567/#13153,花草樹木|食物、飲料、煙酒
9568,楓,,13154,名,,,楓香、楓樹。木本植物。葉子互生，邊緣為細鋸齒狀。每到秋末，樹葉就會變黃、變紅。木材可當建築和製家具的材料。,,,9579#13171|9582#13174,,,,png,png,https://sutian.moe.edu.tw/zh-hant/su/9568/#13154,花草樹木|建築物、結構
9569,楔,,13155,動,,,把東西塞進孔縫內。,,V778,,,,,seh,seh,https://sutian.moe.edu.tw/zh-hant/su/9569/#13155,一般動詞-行為動詞
9570,楗,,13156,動,,,撐住。用東西支拄另一個東西或是兩個東西互相抵住、撐住。,,,3948#5541,,,,kīng,kēng,https://sutian.moe.edu.tw/zh-hant/su/9570/#13156,一般動詞-靜態動詞
9570,楗,,13157,動,,,支助。,,,,,,,kīng,kēng,https://sutian.moe.edu.tw/zh-hant/su/9570/#13157,一般動詞-靜態動詞
9571,楞,,13158,形,,,頭暈。,,,6376#8898,,,,gông,gông,https://sutian.moe.edu.tw/zh-hant/su/9571/#13158,傷疾病痛
9572,楠,,13159,名,,,木本植物。常綠喬木，開淡綠色花，葉呈長橢圓，果實紫黑，木質粗壯堅硬，是良好的木料建材。,,,9580#13172,,,,lâm,lâm,https://sutian.moe.edu.tw/zh-hant/su/9572/#13159,花草樹木|建築物、結構
