編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
14610,雞卵面,,ke-nn̄g-bīn,ke-nn̄g-bīn,ke1-nng7-bin7,ke1-nng7-bin7,14610(1).mp3,生理構造,主詞目
14611,雞卵清,,ke-nn̄g-tshing,ke-nn̄g-chheng,ke1-nng7-tshing1,ke1-nng7-chheng1,14611(1).mp3,禽類|食物、飲料、煙酒,主詞目
14612,面肉,,bīn-bah,bīn-bah,bin7-bah4,bin7-bah4,14612(1).mp3,生理構造,主詞目
14613,乜,替,mí,mí,mi2,mi2,,,單字不成詞者
14614,刁,替,thiau,thiau,thiau1,thiau1,,,單字不成詞者
14615,力,替,lí,lí,li2,li2,,,單字不成詞者
14616,丈,文,tiōng,tiōng,tiong7,tiong7,,,單字不成詞者
14617,丈,白,tiūnn,tiūⁿ,tiunn7,tiuⁿ7,,,單字不成詞者
14618,三,文,sàm,sàm,sam3,sam3,,,單字不成詞者
14619,上,文,sióng,sióng,siong2,siong2,,,單字不成詞者
14620,上,替,siāng,siāng,siang7,siang7,,,單字不成詞者
14621,下,替,e,e,e1,e1,,,單字不成詞者
14622,久,文,kiú,kiú,kiu2,kiu2,,,單字不成詞者
14623,口,替,káu,káu,kau2,kau2,,,單字不成詞者
14624,口,文,khió,khió,khio2,khio2,,,單字不成詞者
14625,夕,白,sia̍h,sia̍h,siah8,siah8,,,單字不成詞者
14626,夕,文,si̍k,se̍k,sek8,sek8,,,單字不成詞者
14627,川,替,tshng,chhng,chhng1,chhng1,,,單字不成詞者
14628,川,,tshuan,chhoan,chhoan1,chhoan1,,,單字不成詞者
14629,工,替,khang,khang,khang1,khang1,,,單字不成詞者
14630,己,白,kī,kī,ki7,ki7,,,單字不成詞者
14631,已,,í,í,i2,i2,,,單字不成詞者
14632,巳,文,sū,sū,su7,su7,,,單字不成詞者
14633,弓,文,kiong,kiong,kiong1,kiong1,,軍事,單字不成詞者
14634,不,替,puh,puh,puh4,puh4,,,單字不成詞者
14635,云,,ûn,ûn,un5,un5,,,單字不成詞者
14636,互,,hōo,hō͘,hoo7,hou7,,,單字不成詞者
14637,井,文,tsíng,chéng,cheng2,cheng2,,,單字不成詞者
14638,仇,,kiû,kiû,kiu5,kiu5,,,單字不成詞者
14639,今,文,kim,kim,kim1,kim1,,,單字不成詞者
14640,今,白,kin,kin,kin1,kin1,,,單字不成詞者
14641,介,,kài,kài,kai3,kai3,,,單字不成詞者
14642,元,,guân,goân,guan5,goan5,,,單字不成詞者
14643,分,,hūn,hūn,hun7,hun7,,,單字不成詞者
14644,切,,tshè,chhè,chhe3,chhe3,,,單字不成詞者
14645,勿,,bu̍t,bu̍t,but8,but8,,,單字不成詞者
14646,及,,ki̍p,ki̍p,kip8,kip8,,,單字不成詞者
14647,夭,,iáu,iáu,iau2,iau2,,,單字不成詞者
14648,孔,白,kháng,kháng,khang2,khang2,,,單字不成詞者
14649,孔,文,khóng,khóng,khong2,khong2,,,單字不成詞者
14650,少,文,siáu,siáu,siau2,siau2,,,單字不成詞者
14651,少,,siàu,siàu,siau3,siau3,,,單字不成詞者
14652,尺,文,tshik,chhek,chhek4,chhek4,,,單字不成詞者
14653,屯,,tūn,tūn,tun7,tun7,,,單字不成詞者
14654,巴,,pa,pa,pa1,pa1,,,單字不成詞者
14655,幻,,huàn,hoàn,huan3,hoan3,,,單字不成詞者
14656,弔,,tiàu,tiàu,tiau3,tiau3,,,單字不成詞者
14657,手,文,siú,siú,siu2,siu2,,,單字不成詞者
14658,扎,替,tsah,chah,chah4,chah4,,,單字不成詞者
14659,支,文,tsi,chi,chi1,chi1,,,單字不成詞者
14660,斗,文,tóo,tó͘,too2,to͘2,,,單字不成詞者
14661,方,白,png,png,png1,png1,,,單字不成詞者
14662,曰,,ua̍t,oa̍t,oat8,oat8,,,單字不成詞者
14663,歹,,tái,tái,tai2,tai2,,,單字不成詞者
14664,毛,替,moo,mo͘,moo1,mou1,,,單字不成詞者
14665,火,文,hónn,hóⁿ,honn2,honn2,,,單字不成詞者
14666,爻,,ngâu,ngâu,ngau5,ngau5,,,單字不成詞者
14667,片,文,phiàn,phiàn,phian3,phian3,,,單字不成詞者
14668,牛,文,giû,giû,giu5,giu5,,,單字不成詞者
14669,犬,,khián,khián,khian2,khian2,,,單字不成詞者
14670,且,,tshiánn,chhiáⁿ,chhiann2,chhiaⁿ2,,,單字不成詞者
14671,丘,文,khiu,khiu,khiu1,khiu1,,,單字不成詞者
14672,丘,白,khu,khu,khu1,khu1,,,單字不成詞者
14673,丙,文,píng,péng,peng2,peng2,,,單字不成詞者
14674,乏,文,hua̍t,hoa̍t,huat8,hoat8,,,單字不成詞者
14675,仔,,tsú,chú,chu2,chu2,,,單字不成詞者
14676,他,,thann,thaⁿ,thann1,thaⁿ1,,,單字不成詞者
14677,仗,,tiōng,tiōng,tiong7,tiong7,,,單字不成詞者
14678,仟,,tshian,chhian,chhian1,chhian1,,,單字不成詞者
14679,代,文,tài,tài,tai3,tai3,,,單字不成詞者
14680,兄,文,hing,heng,hing1,heng1,,,單字不成詞者
14681,充,,tshiong,chhiong,chhiong1,chhiong1,,,單字不成詞者
14682,冬,文,tong,tong,tong1,tong1,,,單字不成詞者
14683,凹,替,neh,neh,neh4,neh4,,,單字不成詞者
14684,功,白,kang,kang,kang1,kang1,,,單字不成詞者
14685,包,俗,pâu,pâu,pau5,pau5,,,單字不成詞者
14686,匆,,tshong,chhong,chhong1,chhong1,,,單字不成詞者
14687,北,文,pok,pok,pok4,pok4,,,單字不成詞者
14688,占,,tsiam,chiam,chiam1,chiam1,,,單字不成詞者
14689,另,,līng,lēng,ling7,leng7,,,單字不成詞者
14690,叩,文,khiò,khiò,khio3,khio3,,,單字不成詞者
14691,召,,tiàu,tiàu,tiau3,tiau3,,,單字不成詞者
14692,叭,,pah,pah,pah4,pah4,,,單字不成詞者
14693,可,白,khuá,khóa,khua2,khoa2,,,單字不成詞者
14694,可,替,khóo,khó͘,khoo2,khou2,,,單字不成詞者
14695,史,白,sái,sái,sai2,sai2,,,單字不成詞者
14696,史,文,sú,sú,su2,su2,,,單字不成詞者
14697,右,,iū,iū,iu7,iu7,,,單字不成詞者
14698,司,白,sai,sai,sai1,sai1,,,單字不成詞者
14699,司,白,si,si,si1,si1,,,單字不成詞者
14700,司,文,su,su,su1,su1,,,單字不成詞者
14701,外,文,guē,gōe,gue7,goe7,,,單字不成詞者
14702,央,文,iong,iong,iong1,iong1,,,單字不成詞者
14703,央,白,ng,ng,ng1,ng1,,,單字不成詞者
14704,孕,,īn,īn,in7,in7,,,單字不成詞者
14705,尻,替,kha,kha,kha1,kha1,,,單字不成詞者
14706,尼,,nî/lî,nî/lî,ni5/li5,ni5/li5,,,單字不成詞者
14707,左,,tsó,chó,cho2,cho2,,,單字不成詞者
14708,巧,文,kháu,kháu,khau2,khau2,,,單字不成詞者
14709,巨,,kī/kū,kī/kū,ki7/ku7,ki7/ku7,,,單字不成詞者
14710,弘,,hông,hông,hong5,hong5,,,單字不成詞者
14711,必,,pit,pit,pit4,pit4,,,單字不成詞者
14712,扑,,phok,phok,phok4,phok4,,,單字不成詞者
14713,打,,tá,tá,ta2,ta2,,,單字不成詞者
14714,斥,,thik,thek,thek4,thek4,,,單字不成詞者
14715,旦,文,tàn,tàn,tan3,tan3,,,單字不成詞者
14716,末,白,bua̍h,boa̍h,buah8,boah8,,,單字不成詞者
14717,末,文,bua̍t,boa̍t,buat8,boat8,,,單字不成詞者
14718,本,白,pńg,pńg,png2,png2,,,單字不成詞者
14719,札,,tsat,chat,chat4,chat4,,,單字不成詞者
14720,正,白,tsiann,chiaⁿ,chiann1,chiaⁿ1,,,單字不成詞者
14721,永,,íng,éng,ing2,eng2,,,單字不成詞者
14722,玄,,hiân,hiân,hian5,hian5,,,單字不成詞者
14723,瓜,文,kua,koa,kua1,koa1,,,單字不成詞者
14724,瓦,文,uá,óa,oa2,oa2,,,單字不成詞者
14725,田,,tiân,tiân,tian5,tian5,,,單字不成詞者
14726,甲,文,kap,kap,kap4,kap4,,,單字不成詞者
14727,皮,白,pî,pî,pi5,pi5,,,單字不成詞者
14728,矛,,mâu,mâu,mau5,mau5,,,單字不成詞者
14729,矛,,môo,mô͘,moo5,mou5,,,單字不成詞者
14730,矢,,sí,sí,si2,si2,,,單字不成詞者
14731,石,白,sia̍h,sia̍h,siah8,siah8,,,單字不成詞者
14732,禾,,hô,hô,ho5,ho5,,,單字不成詞者
14733,丟,,tiu,tiu,tiu1,tiu1,,,單字不成詞者
14734,乩,,ki,ki,ki1,ki1,,,單字不成詞者
14735,仰,,gióng,gióng,giong2,giong2,,,單字不成詞者
14736,仰,俗,ióng,ióng,iong2,iong2,,,單字不成詞者
14737,仲,,tiōng,tiōng,tiong7,tiong7,,,單字不成詞者
14738,仵,,ngóo,ngó͘,ngoo2,ngou2,,,單字不成詞者
14739,任,,jîm/lîm,jîm/lîm,jim5/lim5,jim5/lim5,,,單字不成詞者
14740,企,,khì,khì,khi3,khi3,,,單字不成詞者
14741,伍,,ngóo,ngó͘,ngoo2,ngou2,,,單字不成詞者
14742,伏,,ho̍k,ho̍k,hok8,hok8,,,單字不成詞者
14743,伐,文,hua̍t,hoa̍t,huat8,hoat8,,,單字不成詞者
14744,伙,,hué/hé,hóe/hé,hue2/he2,hoe2/he2,,,單字不成詞者
14745,兇,,hiong,hiong,hiong1,hiong1,,,單字不成詞者
14746,先,白,sin,sin,sin1,sin1,,,單字不成詞者
14747,全,白,tsn̂g,chn̂g,chng5,chng5,,,單字不成詞者
14748,劣,,lua̍t,loa̍t,luat8,loat8,,,單字不成詞者
14749,危,,guî,gûi,gui5,gui5,,,單字不成詞者
14750,危,俗,uî,ûi,ui5,ui5,,,單字不成詞者
14751,各,白,koh,koh,koh4,koh4,,,單字不成詞者
14752,各,文,kok,kok,kok4,kok4,,,單字不成詞者
14753,合,白,kah,kah,kah4,kah4,,,單字不成詞者
14754,吉,替,jì,jì,ji3,ji3,,,單字不成詞者
14755,吋,,tshùn,chhùn,chhun3,chhun3,,,單字不成詞者
14756,同,白,tâng,tâng,tang5,tang5,,,單字不成詞者
14757,后,白,āu,āu,au7,au7,,,單字不成詞者
14758,后,文,hiō,hiō,hio7,hio7,,,單字不成詞者
14759,后,文,hōo,hō͘,hoo7,hou7,,,單字不成詞者
14760,吏,,lī,lī,li7,li7,,,單字不成詞者
14761,向,替,hiàng,hiàng,hiang3,hiang3,,,單字不成詞者
14762,囡,替,gín,gín,gin2,gin2,,,單字不成詞者
14763,圭,,kui,kui,kui1,kui1,,,單字不成詞者
14764,地,白,tè,tè,te3,te3,,,單字不成詞者
14765,地,文,tī,tī,ti7,ti7,,,單字不成詞者
14766,夷,,î,î,i5,i5,,,單字不成詞者
14767,妄,,bōng,bōng,bong7,bong7,,,單字不成詞者
14768,存,,tshûn,chhûn,chhun5,chhun5,,,單字不成詞者
14769,宅,文,thi̍k,the̍k,thek8,thek8,,,單字不成詞者
14770,宇,,ú,ú,u2,u2,,,單字不成詞者
14771,安,白,uann,oaⁿ,oann1,oaⁿ1,,,單字不成詞者
14772,式,文,sik,sek,sek4,sek4,,,單字不成詞者
14773,式,白,sit,sit,sit4,sit4,,,單字不成詞者
14774,忖,,tshún,chhún,chhun2,chhun2,,,單字不成詞者
14775,忙,白,bâng,bâng,bang5,bang5,,,單字不成詞者
14776,忙,文,bông,bông,bong5,bong5,,,單字不成詞者
14777,扛,文,kong,kong,kong1,kong1,,,單字不成詞者
14778,旨,,tsí,chí,chi2,chi2,,,單字不成詞者
14779,早,,tsái,chái,chai2,chai2,,,單字不成詞者
14780,旬,,sûn,sûn,sun5,sun5,,,單字不成詞者
14781,旭,,hiok,hiok,hiok4,hiok4,,,單字不成詞者
14782,曲,文,khiok,khiok,khiok4,khiok4,,,單字不成詞者
14783,朴,,phoh,phoh,phoh4,phoh4,,,單字不成詞者
14784,朽,,hiú,hiú,hiu2,hiu2,,,單字不成詞者
14785,汗,文,hān,hān,han7,han7,,,單字不成詞者
14786,汙,,u,u,u1,u1,,,單字不成詞者
14787,汙,,ù,ù,u3,u3,,,單字不成詞者
14788,灰,,hue,hoe,hue1,hoe1,,,單字不成詞者
14789,百,白,peh,peh,peh4,peh4,,,單字不成詞者
14790,百,文,pik,pek,pek4,pek4,,,單字不成詞者
14791,竹,文,tiok,tiok,tiok4,tiok4,,,單字不成詞者
14792,羊,文,iông,iông,iong5,iong5,,,單字不成詞者
14793,羽,,ú,ú,u2,u2,,,單字不成詞者
14794,老,文,ló,ló,lo2,lo2,,,單字不成詞者
14795,老,文,nóo,nó͘,noo2,nou2,,,單字不成詞者
14796,而,,jî/lî,jî/lî,ji5/li5,ji5/li5,,,單字不成詞者
14797,肉,白,hi̍k,he̍k,hik8,hek8,,,單字不成詞者
14798,肋,,li̍k,le̍k,lik8,lek8,,,單字不成詞者
14799,肌,,ki,ki,ki1,ki1,,,單字不成詞者
14800,至,,tsì,chì,chi3,chi3,,,單字不成詞者
14801,臼,,khū,khū,khu7,khu7,,,單字不成詞者
14802,舌,文,sia̍t,sia̍t,siat8,siat8,,,單字不成詞者
14803,舟,,tsiu,chiu,chiu1,chiu1,,,單字不成詞者
14804,行,文,hîng,hêng,hing5,heng5,,,單字不成詞者
14805,行,替,lîng,lêng,ling5,leng5,,,單字不成詞者
14806,西,俗,si,si,si1,si1,,,單字不成詞者
14807,亨,,hing,heng,hing1,heng1,,,單字不成詞者
14808,伯,文,pik,pek,pek4,pek4,,,單字不成詞者
14809,伯,替,pit,pit,pit4,pit4,,,單字不成詞者
14810,伯,文,phik,phek,phek4,phek4,,,單字不成詞者
14811,伴,文,phuān,phoān,phoan7,phoan7,,,單字不成詞者
14812,伶,,líng,léng,ling2,leng2,,,單字不成詞者
14813,似,白,sāi,sāi,sai7,sai7,,,單字不成詞者
14814,佃,,tiān,tiān,tian7,tian7,,,單字不成詞者
14815,但,,tān,tān,tan7,tan7,,,單字不成詞者
14816,但,,nā,nā,na7,na7,,,單字不成詞者
14817,住,,tsū,chū,chu7,chu7,,,單字不成詞者
14818,佐,,tsò,chò,cho3,cho3,,,單字不成詞者
14819,佑,,iū,iū,iu7,iu7,,,單字不成詞者
14820,何,白,uâ,ôa,oa5,oa5,,,單字不成詞者
14821,冶,,iá,iá,ia2,ia2,,,單字不成詞者
14822,刪,,san,san,san1,san1,,,單字不成詞者
14823,努,,lóo,ló͘,loo2,lou2,,,單字不成詞者
14824,即,,tsik,chek,chek4,chek4,,,單字不成詞者
14825,卵,文,luán,loán,luan2,loan2,,,單字不成詞者
14826,吝,,līn,līn,lin7,lin7,,,單字不成詞者
14827,吠,文,huī,hūi,hui7,hui7,,,單字不成詞者
14828,否,,hónn,hóⁿ,honn2,honn2,,,單字不成詞者
14829,否,,phí,phí,phi2,phi2,,,單字不成詞者
14830,吩,白,huan,hoan,huan1,hoan1,,,單字不成詞者
14831,吩,文,hun,hun,hun1,hun1,,,單字不成詞者
14832,含,文,hâm,hâm,ham5,ham5,,,單字不成詞者
14833,吳,,ngôo,ngô͘,ngoo5,ngou5,,,單字不成詞者
14834,吵,文,tsháu,chháu,chhau2,chhau2,,,單字不成詞者
14835,吹,文,tshui,chhui,chhui1,chhui1,,,單字不成詞者
14836,吻,,bún,bún,bun2,bun2,,,單字不成詞者
14837,吾,,ngôo,ngô͘,ngoo5,ngou5,,,單字不成詞者
14838,呂,白,lī/lū,lī/lū,li7/lu7,li7/lu7,,,單字不成詞者
14839,呂,文,lū,lū,lu7,lu7,,,單字不成詞者
14840,呈,,thîng,thêng,theng5,theng5,,,單字不成詞者
14841,困,,khùn,khùn,khun3,khun3,,,單字不成詞者
14842,圾,,sap,sap,sap4,sap4,,,單字不成詞者
14843,址,,tsí,chí,chi2,chi2,,,單字不成詞者
14844,均,,kin/kun,kin/kun,kin1/kun1,kin1/kun1,,,單字不成詞者
14845,坊,白,hng,hng,hng1,hng1,,,單字不成詞者
14846,坊,文,hong,hong,hong1,hong1,,,單字不成詞者
14847,坐,文,tsō,chō,cho7,cho7,,,單字不成詞者
14848,坑,文,khing,kheng,khing1,kheng1,,,單字不成詞者
14849,壯,,tsòng,chòng,chong3,chong3,,,單字不成詞者
14850,妍,,gián,gián,gian2,gian2,,,單字不成詞者
14851,妒,,tòo,tò͘,too3,to͘3,,,單字不成詞者
14852,妓,,ki,ki,ki1,ki1,,,單字不成詞者
14853,妥,,thò,thò,tho3,tho3,,,單字不成詞者
14854,妨,,hông,hông,hong5,hong5,,,單字不成詞者
14855,孜,,tsu,chu,chu1,chu1,,,單字不成詞者
14856,孝,白,hà,hà,ha3,ha3,,,單字不成詞者
14857,宏,,hông,hông,hong5,hong5,,,單字不成詞者
14858,希,,hi,hi,hi1,hi1,,,單字不成詞者
14859,庇,,pì,pì,pi3,pi3,,,單字不成詞者
14860,床,文,tshông,chhông,chhong5,chhong5,,,單字不成詞者
14861,序,替,sī,sī,si7,si7,,,單字不成詞者
14862,序,白,sī,sī,si7,si7,,,單字不成詞者
14863,廷,,tîng,têng,teng5,teng5,,,單字不成詞者
14864,弄,文,lōng,lōng,long7,long7,,,單字不成詞者
14865,彷,,hóng,hóng,hong2,hong2,,,單字不成詞者
14866,役,文,i̍k,e̍k,ik8,ek8,,,單字不成詞者
14867,忌,,kī,kī,ki7,ki7,,,單字不成詞者
14868,忤,,ngóo,ngó͘,ngoo2,ngou2,,,單字不成詞者
14869,快,,khuìnn,khùiⁿ,khuinn3,khuinn3,,,單字不成詞者
14870,戒,,kài,kài,kai3,kai3,,,單字不成詞者
14871,扭,文,liú,liú,liu2,liu2,,,單字不成詞者
14872,批,文,phi,phi,phi1,phi1,,,單字不成詞者
14873,扼,,i̍k,e̍k,ik8,ek8,,,單字不成詞者
14874,把,文,pá,pá,pa2,pa2,,,單字不成詞者
14875,把,替,pà,pà,pa3,pa3,,,單字不成詞者
14876,抗,,khòng,khòng,khong3,khong3,,,單字不成詞者
14877,折,,tsik,chek,chek4,chek4,,,單字不成詞者
14878,更,文,king,keng,king1,keng1,,,單字不成詞者
14879,更,,kìng,kèng,king3,keng3,,,單字不成詞者
14880,杆,文,kan,kan,kan1,kan1,,,單字不成詞者
14881,杉,,sam,sam,sam1,sam1,,,單字不成詞者
14882,杖,文,tiōng,tiōng,tiong7,tiong7,,,單字不成詞者
14883,杖,白,thn̄g,thn̄g,thng7,thng7,,,單字不成詞者
14884,杜,,tōo,tō͘,too7,to͘7,,,單字不成詞者
14885,杞,,kí,kí,ki2,ki2,,,單字不成詞者
14886,決,,kuat,koat,kuat4,koat4,,,單字不成詞者
14887,汽,,khì,khì,khi3,khi3,,,單字不成詞者
14888,沈,,sím,sím,sim2,sim2,,,單字不成詞者
14889,沌,,tūn,tūn,tun7,tun7,,,單字不成詞者
14890,沐,,bo̍k,bo̍k,bok8,bok8,,,單字不成詞者
14891,沒,,bu̍t,bu̍t,but8,but8,,,單字不成詞者
14892,沙,文,sa,sa,sa1,sa1,,,單字不成詞者
14893,沙,白,se,se,se1,se1,,,單字不成詞者
14894,沛,,phài,phài,phai3,phai3,,,單字不成詞者
14895,沢,替,tshioh,chhioh,chhioh4,chhioh4,,,單字不成詞者
14896,灶,文,tsò,chò,cho3,cho3,,,單字不成詞者
14897,灸,,kù,kù,ku3,ku3,,,單字不成詞者
14898,牡,,bóo,bó͘,boo2,bou2,,,單字不成詞者
14899,牢,文,lô,lô,lo5,lo5,,,單字不成詞者
14900,甫,,hú,hú,hu2,hu2,,,單字不成詞者
14901,町,,ting,teng,teng1,teng1,,,單字不成詞者
14902,禿,白,thuh,thuh,thuh4,thuh4,,,單字不成詞者
14903,禿,文,thut,thut,thut4,thut4,,,單字不成詞者
14904,秀,,siù,siù,siu3,siu3,,,單字不成詞者
14905,私,白,sai,sai,sai1,sai1,,,單字不成詞者
14906,私,白,si,si,si1,si1,,,單字不成詞者
14907,究,,kiù,kiù,kiu3,kiu3,,,單字不成詞者
14908,肓,,bông,bông,bong5,bong5,,,單字不成詞者
14909,肖,,siàu,siàu,siau3,siau3,,,單字不成詞者
14910,肘,,tiú,tiú,tiu2,tiu2,,,單字不成詞者
14911,肛,,kong,kong,kong1,kong1,,,單字不成詞者
14912,育,,io̍k,io̍k,iok8,iok8,,,單字不成詞者
14913,良,,liông,liông,liong5,liong5,,,單字不成詞者
14914,芋,文,ū,ū,u7,u7,,,單字不成詞者
14915,芍,,tsiok,chiok,chiok4,chiok4,,,單字不成詞者
14916,芎,,kiong,kiong,kiong1,kiong1,,,單字不成詞者
14917,芒,白,bâng,bâng,bang5,bang5,,,單字不成詞者
14918,芒,文,bông,bông,bong5,bong5,,,單字不成詞者
14919,谷,,kok,kok,kok4,kok4,,,單字不成詞者
14920,豸,,thuā,thōa,thoa7,thoa7,,,單字不成詞者
14921,貝,,puè,pòe,poe3,poe3,,,單字不成詞者
14922,赤,文,tshik,chhek,chhek4,chhek4,,,單字不成詞者
14923,走,文,tsóo,chó͘,choo2,cho͘2,,,單字不成詞者
14924,車,文,ki/ku,ki/ku,ki1/ku1,ki1/ku1,,,單字不成詞者
14925,迅,,sìn,sìn,sin3,sin3,,,單字不成詞者
14926,邑,,ip,ip,ip4,ip4,,,單字不成詞者
14927,邦,,pang,pang,pang1,pang1,,,單字不成詞者
14928,阮,,ńg,ńg,ng2,ng2,,,單字不成詞者
14929,乳,,jú/lú,jú/lú,ju2/lu2,ju2/lu2,,,單字不成詞者
14930,亞,,a,a,a1,a1,,,單字不成詞者
14931,享,,hiáng,hiáng,hiang2,hiang2,,,單字不成詞者
14932,享,,hióng,hióng,hiong2,hiong2,,,單字不成詞者
14933,京,白,kiann,kiaⁿ,kiann1,kiann1,,,單字不成詞者
14934,京,文,king,keng,king1,keng1,,,單字不成詞者
14935,佩,俗,phuè,phòe,phoe3,phoe3,,,單字不成詞者
14936,佩,,puē,pōe,poe7,poe7,,,單字不成詞者
14937,佬,,ló,ló,lo2,lo2,,,單字不成詞者
14938,佳,,ka,ka,ka1,ka1,,,單字不成詞者
14939,併,,pìng,pèng,peng3,peng3,,,單字不成詞者
14940,使,白,sài,sài,sai3,sai3,,,單字不成詞者
14941,使,文,sù,sù,su3,su3,,,單字不成詞者
14942,侍,白,sāi,sāi,sai7,sai7,,,單字不成詞者
14943,侍,文,sū,sū,su7,su7,,,單字不成詞者
14944,侗,替,tòng,tòng,tong3,tong3,,,單字不成詞者
14945,供,文,kiong,kiong,kiong1,kiong1,,,單字不成詞者
14946,依,,i,i,i1,i1,,,單字不成詞者
14947,兒,,jî/lî,jî/lî,ji5/li5,ji5/li5,,,單字不成詞者
14948,具,文,kū,kū,ku7,ku7,,,單字不成詞者
14949,函,,hâm,hâm,ham5,ham5,,,單字不成詞者
14950,刮,,kuat,koat,kuat4,koat4,,,單字不成詞者
14951,到,白,tàu,tàu,tau3,tau3,,,單字不成詞者
14952,到,文,tò,tò,to3,to3,,,單字不成詞者
14953,刷,,suat,soat,soat4,soat4,,,單字不成詞者
14954,卑,,pi,pi,pi1,pi1,,,單字不成詞者
14955,卓,白,toh,toh,toh4,toh4,,,單字不成詞者
14956,卓,文,tok,tok,tok4,tok4,,,單字不成詞者
14957,協,,ha̍h,ha̍h,hah8,hah8,,,單字不成詞者
14958,協,,hia̍p,hia̍p,hiap8,hiap8,,,單字不成詞者
14959,卷,白,kǹg,kǹg,kng3,kng3,,,單字不成詞者
14960,叔,文,siok,siok,siok4,siok4,,,單字不成詞者
14961,呢,替,ne,ne,ne1,ne1,,,單字不成詞者
14962,呢,替,nî,nî,ni5,ni5,,,單字不成詞者
14963,呧,替,ti,ti,ti1,ti1,,,單字不成詞者
14964,周,,tsiu,chiu,chiu1,chiu1,,,單字不成詞者
14965,呱,替,kuā,kōa,kua7,koa7,,,單字不成詞者
14966,呴,替,ku,ku,ku1,ku1,,,單字不成詞者
14967,呵,替,o,o,o1,o1,,,單字不成詞者
14968,呻,文,sin,sin,sin1,sin1,,,單字不成詞者
14969,呼,替,honn,hoⁿ,honn1,honn1,,,單字不成詞者
14970,呿,替,khuh,khuh,khuh4,khuh4,,,單字不成詞者
14971,和,,hō,hō,ho7,ho7,,,單字不成詞者
14972,和,白,huê,hôe,hue5,hoe5,,,單字不成詞者
14973,咍,,hai,hai,hai1,hai1,,,單字不成詞者
14974,咎,,kiū,kiū,kiu7,kiu7,,,單字不成詞者
14975,咐,,hù,hù,hu3,hu3,,,單字不成詞者
14976,咖,,ka,ka,ka1,ka1,,,單字不成詞者
14977,固,,kòo,kò͘,koo3,kou3,,,單字不成詞者
14978,坡,,pho,pho,pho1,pho1,,,單字不成詞者
14979,坤,,khun,khun,khun1,khun1,,,單字不成詞者
14980,坦,文,thán,thán,than2,than2,,,單字不成詞者
14981,坪,白,phiânn,phiâⁿ,phiann5,phiaⁿ5,,,單字不成詞者
14982,坪,文,phîng,phêng,pheng5,pheng5,,,單字不成詞者
14983,坷,,khia̍t,khia̍t,khiat8,khiat8,,,單字不成詞者
14984,垃,替,lâ,lâ,la5,la5,,,單字不成詞者
14985,垃,替,lah,lah,lah4,lah4,,,單字不成詞者
14986,奈,文,nāi,nāi,nai7,nai7,,,單字不成詞者
14987,奈,白,ta,ta,ta1,ta1,,,單字不成詞者
14988,奉,,hōng,hōng,hong7,hong7,,,單字不成詞者
14989,奔,,phun,phun,phun1,phun1,,,單字不成詞者
14990,妮,,nî,nî,ni5,ni5,,,單字不成詞者
14991,妲,,thán,thán,than2,than2,,,單字不成詞者
14992,始,白,sí,sí,si2,si2,,,單字不成詞者
14993,姐,,tsiá,chiá,chia2,chia2,,,單字不成詞者
14994,姒,,sāi,sāi,sai7,sai7,,,單字不成詞者
14995,委,,uí,úi,ui2,ui2,,,單字不成詞者
14996,孟,,bīng,bēng,bing7,beng7,,,單字不成詞者
14997,宗,,tsong,chong,chong1,chong1,,,單字不成詞者
14998,宙,,tiū,tiū,tiu7,tiu7,,,單字不成詞者
14999,宛,,uán,oán,oan2,oan2,,,單字不成詞者
15000,宜,,gî,gî,gi5,gi5,,,單字不成詞者
15001,尚,俗,sióng,sióng,siong2,siong2,,,單字不成詞者
15002,尚,文,siōng,siōng,siong7,siong7,,,單字不成詞者
15003,尚,白,siūnn,siūⁿ,siunn7,siuⁿ7,,,單字不成詞者
15004,屄,替,bai,bai,bai1,bai1,,,單字不成詞者
15005,居,白,ki/ku,ki/ku,ki1/ku1,ki1/ku1,,,單字不成詞者
15006,居,文,ku,ku,ku1,ku1,,,單字不成詞者
15007,岡,,kong,kong,kong1,kong1,,,單字不成詞者
15008,岩,白,gâm,gâm,gam5,gam5,,,單字不成詞者
15009,岩,文,giâm,giâm,giam5,giam5,,,單字不成詞者
15010,岳,,ga̍k,ga̍k,gak8,gak8,,,單字不成詞者
15011,岸,文,gān,gān,gan7,gan7,,,單字不成詞者
15012,帙,,tia̍t,tia̍t,tiat8,tiat8,,,單字不成詞者
15013,帚,,tshiú,chhiú,chhiu2,chhiu2,,,單字不成詞者
15014,帛,白,pe̍h,pe̍h,peh8,peh8,,,單字不成詞者
15015,帛,文,pi̍k,pe̍k,pek8,pek8,,,單字不成詞者
15016,延,,iân,iân,ian5,ian5,,,單字不成詞者
15017,弦,,hiân,hiân,hian5,hian5,,,單字不成詞者
15018,弧,,hôo,hô͘,hoo5,hou5,,,單字不成詞者
15019,彼,,pí,pí,pi2,pi2,,,單字不成詞者
15020,彿,,hut,hut,hut4,hut4,,,單字不成詞者
15021,征,,tsing,cheng,cheng1,cheng1,,,單字不成詞者
15022,忽,,hut,hut,hut4,hut4,,,單字不成詞者
15023,忿,,hún,hún,hun2,hun2,,,單字不成詞者
15024,怏,替,ǹg,ǹg,ng3,ng3,,,單字不成詞者
