編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
594,內山,,lāi-suann,lāi-soaⁿ,lai7-suann1,lai7-soann1,594(1).mp3,地理|自然現象,主詞目
595,內才,,lāi-tsâi,lāi-châi,lai7-tsai5,lai7-tsai5,595(1).mp3,才智能力,主詞目
596,分寸,,hun-tshùn,hun-chhùn,hun1-tshun3,hun1-chhun3,596(1).mp3,氣質態度|待人處事,主詞目
597,不三不四,,put-sam-put-sù,put-sam-put-sù,put4-sam1-put4-su3,put4-sam1-put4-su3,597(1).mp3,道德評價,主詞目
598,不仁,,put-jîn/put-lîn,put-jîn/put-lîn,put4-jin5/put4-lin5,put4-jin5/put4-lin5,598(1).mp3,道德評價,主詞目
599,中元,,Tiong-guân,Tiong-goân,Tiong1-goan5,Tiong1-goan5,599(1).mp3,時間節令|生活狀況|相關器具、活動,主詞目
600,五仁,,ngóo-jîn/ngóo-lîn,ngó͘-jîn/ngó͘-lîn,ngoo2-jin5/ngoo2-lin5,ngou2-jin5/ngou2-lin5,600(1).mp3,個性風格|食物、飲料、煙酒|語言、文字、符號,主詞目
601,仁丹,,jîn-tan/lîn-tan,jîn-tan/lîn-tan,jin5-tan1/lin5-tan1,jin5-tan1/lin5-tan1,601(1).mp3,醫療保健,主詞目
602,內公,,lāi-kong,lāi-kong,lai7-kong1,lai7-kong1,602(1).mp3,宗族、家庭|稱謂輩分,主詞目
603,公元,,kong-guân,kong-goân,kong1-guan5,kong1-goan5,603(1).mp3,時間節令,主詞目
604,公分,,kong-pun,kong-pun,kong1-pun1,kong1-pun1,604(1).mp3,一般動詞-行為動詞,主詞目
605,公分,,kong-hun,kong-hun,kong1-hun1,kong1-hun1,605(1).mp3,數詞、量詞,主詞目
606,勻勻仔,,ûn-ûn-á,ûn-ûn-á,un5-un5-a2,un5-un5-a2,606(1).mp3,心理狀態,主詞目
